huc	basin
17040102	Gros Ventre
17040103	Greys-Hobock
17040104	Palisades
17040105	Salt
170402	Upper Snake
17040201	Idaho Falls
17040202	Upper Henrys
17040203	Lower Henrys
17040204	Teton
17040205	Willow
17040206	American Falls
17040207	Blackfoot
17040208	Portneuf
17040209	Lake Walcott
17040210	Raft
17040211	Goose
17040212	Upper Snake-Rock
17040213	Salmon Falls
17040214	Beaver-Camas
17040215	Medicine Lodge
17040216	Birch
17040217	Little Lost
17040218	Big Lost
17040219	Big Wood
17040220	Camas
17040221	Little Wood
1705	Middle Snake
170501	Middle Snake-Boise
17050101	C. J. Idaho
17050102	Bruneau
17050103	Middle Snake-Succor
17050104	Upper Owyhee
17050105	South Fork Owyhee
17050106	East Little Owyhee. Nevada,
17050107	Middle Owyhee
17050108	Jordan
17050109	Crooked-Rattlesnake
17050110	Lower Owyhee
17050111	North and Middle Forks Boise
17050112	Boise-Mores
17050113	South Fork Boise
17050114	Lower Boise
17050115	Middle Snake-Payette
17050116	Upper Malheur
17050117	Lower Malheur
17050118	Bully
17050119	Willow
17050120	South Fork Payette
17050121	Middle Fork Payette
17050122	Payette
17050123	North Fork Payette
17050124	Weiser
170502	Middle Snake-Powder
17050201	Brownlee Reservoir
17050202	Burnt
17050203	Powder
1706	Lower Snake
170601	Lower Snake
17060101	Hells Canyon
17060102	Imnaha
17060103	Lower Snake-Asotin
17060104	Upper Grande Ronde
17060105	Wallowa
17060106	Lower Grande Ronde
17060107	Lower Snake-Tucannon
17060108	Palouse
17060109	Rock
17060110	Lower Snake
170602	Salmon
17060201	Upper Salmon
17060202	Pahsimeroi
17060203	Middle Salmon-Panther
17060204	Lemhi
17060205	Upper Middle Fork Salmon
17060206	Lower Middle Fork Salmon
17060207	Middle Salmon-Chamberlain
17060208	South Fork Salmon
17060209	Lower Salmon
17060210	Little Salmon
170603	Clearwater
17060301	Upper Selway
17060302	Lower Selway
17060303	Lochsa
17060304	Middle Fork Clearwater
17060305	South Fork Clearwater
17060306	Clearwater
17060307	Upper North Fork Clearwater
17060308	Lower North Fork Clearwater
1707	Middle Columbia
170701	Middle Columbia
17070101	Middle Columbia-Lake Wallula
17070102	Walla Walla
17070103	Umatilla
17070104	Willow
17070105	Middle Columbia-Hood
17070106	Klickitat
170702	John Day
17070201	Upper John Day
17070202	North Fork John Day
17070203	Middle Fork John Day
17070204	Lower John Day
170703	Deschutes
17070301	Upper Deschutes
17070302	Little Deschutes
17070303	Beaver-South Fork
17070304	Upper Crooked
17070305	Lower Crooked
17070306	Lower Deschutes
17070307	Trout
1708	Lower Columbia
170800	Lower Columbia
17080001	Lower Columbia-Sandy
17080002	Lewis
17080003	Lower Columbia-Clatskanie
17080004	Upper Cowlitz
17080005	Lower Cowlitz
17080006	Lower Columbia
1709	Willamette
170900	Willamette
17090001	Middle Fork Willamette
17090002	Coast Fork Willamette
17090003	Upper Willamette
17090004	Mckenzie
17090005	North Santiam
17090006	South Santiam
17090007	Middle Willamette
17090008	Yamhill
17090009	Molalla-Pudding
17090010	Tualatin
17090011	Clackamas
17090012	Lower Willamette
1710	Oregon-Washington Coastal
171001	Washington Coastal
17100101	Hoh-Quillayute
17100102	Queets-Quinault
17100103	Upper Chehalis
17100104	Lower Chehalis
17100105	Grays Harbor
17100106	Willapa Bay
171002	Northern Oregon Coastal
17100201	Necanicum
17100202	Nehalem
17100203	Wilson-Trask-Nestucca
17100204	Siletz-Yaquina
17100205	Alsea
17100206	Siuslaw
17100207	Siltcoos
171003	Southern Oregon Coastal
17100301	North Umpqua
17100302	South Umpqua
17100303	Umpqua
17100304	Coos
17100305	Coquille
17100306	Sixes
17100307	Upper Rogue
17100308	Middle Rogue
17100309	Applegate
17100310	Lower Rogue
17100311	Illinois
17100312	Chetco
1711	Puget Sound
171100	Puget Sound
17110001	Fraser
17110002	Strait of Georgia
17110003	San Juan Islands
17110004	Nooksack
17110005	Upper Skagit
17110006	Sauk
17110007	Lower Skagit
17110008	Stillaguamish
17110009	Skykomish
17110010	Snoqualmie
17110011	Snohomish
17110012	Lake Washington
17110013	Duwamish
17110014	Puyallup
17110015	Nisqually
17110016	Deschutes
17110017	Skokomish
17110018	Hood Canal
17110019	Puget Sound
17110020	Dungeness-Elwha
17110021	Crescent-Hoko
1712	Oregon closed basins
171200	Oregon closed basins
17120001	Harney-Malheur Lakes
17120002	Silvies
17120003	Donner Und Blitzen
17120004	Silver
17120005	Summer Lake
17120006	Lake Abert
17120007	Warner Lakes
17120008	Guano
17120009	Alvord Lake
18	California
1801	Klamath-Northern California Coastal
180101	Northern California Coastal
18010101	Smith
18010102	Mad-Redwood
18010103	Upper Eel
18010104	Middle Fork Eel
18010105	Lower Eel
18010106	South Fork Eel
18010107	Mattole
18010108	Big-Navarro-Garcia
18010109	Gualala-Salmon
18010110	Russian
18010111	Bodega Bay
180102	Klamath
18010201	Williamson
18010202	Sprague
18010203	Upper Klamath Lake
18010204	Lost
18010205	Butte
18010206	Upper Klamath
18010207	Shasta
18010208	Scott
18010209	Lower Klamath
18010210	Salmon
18010211	Trinity
18010212	South Fork Trinity
1802	Sacramento
180200	Upper Sacramento
18020001	Goose Lake
18020002	Upper Pit
18020003	Lower Pit
18020004	Mccloud
18020005	Sacramento headwaters
180201	Lower Sacramento
18020101	Sacramento-Lower Cow-Lower Clear
18020102	Lower Cottonwood
18020103	Sacramento-Lower Thomes
18020104	Sacramento-Stone Corral
18020105	Lower Butte
18020106	Lower Feather
18020107	Lower Yuba
18020108	Lower Bear
18020109	Lower Sacramento
18020110	Lower Cache
18020111	Lower American
18020112	Sacramento-Upper Clear
18020113	Cottonwood headwaters
18020114	Upper Elder-Upper Thomes
18020115	Upper Stony
18020116	Upper Cache
18020117	Upper Putah
18020118	Upper Cow-Battle
18020119	Mill-Big Chico
18020120	Upper Butte
18020121	North Fork Feather
18020122	East Branch North Fork Feather
18020123	Middle Fork Feather
18020124	Honcut headwaters
18020125	Upper Yuba
18020126	Upper Bear
18020127	Upper Coon-Upper Auburn
18020128	North Fork American
18020129	South Fork American
1803	Tulare-Buena Vista Lakes
180300	Tulare-Buena Vista Lakes
18030001	Upper Kern
18030002	South Fork Kern
18030003	Middle Kern-Upper Tehachapi-
18030004	Upper Poso
18030005	Upper Deer-Upper White
18030006	Upper Tule
18030007	Upper Kaweah
18030008	Mill
18030009	Upper Dry
18030010	Upper King
18030011	Upper Los Gatos-Avenal
18030012	Tulare-Buena Vista Lakes
1804	San Joaquin
180400	San Joaquin
18040001	Middle San Joaquin-Lower
18040002	Middle San Joaquin-Lower
18040003	San Joaquin Delta
18040004	Lower Calaveras-Mormon Slough
18040005	Lower Cosumnes-Lower Mokelumne
18040006	Upper San Joaquin
18040007	Upper Chowchilla-Upper Fresno
18040008	Upper Merced
18040009	Upper Tuolumne
18040010	Upper Stanislaus
18040011	Upper Calaveras
18040012	Upper Mokelumne
18040013	Upper Cosumnes
18040014	Panoche-San Luis Reservoir
1805	San Francisco Bay
180500	San Francisco Bay
18050001	Suisun Bay
18050002	San Pablo Bay
18050003	Coyote
18050004	San Francisco Bay
18050005	Tomales-Drake Bays
18050006	San Francisco Coastal South
1806	Central California Coastal
180600	Central California Coastal
18060001	San Lorenzo-Soquel
18060002	Pajaro
18060003	Carrizo Plain
18060004	Estrella
18060005	Salinas
18060006	Central Coastal
18060007	Cuyama
18060008	Santa Maria
18060009	San Antonio
18060010	Santa Ynez
18060011	Alisal-Elkhorn Sloughs
18060012	Carmel
18060013	Santa Barbara Coastal
18060014	Santa Barbara Channel Islands
1807	Southern California Coastal
180701	Ventura-San Gabriel Coastal
18070101	Ventura
18070102	Santa Clara
18070103	Calleguas
18070104	Santa Monica Bay
18070105	Los Angeles
18070106	San Gabriel
18070107	San Pedro Channel Islands
180702	Santa Ana
18070201	Seal Beach
18070202	San Jacinto
18070203	Santa Ana
18070204	Newport Bay
180703	Laguna-San Diego Coastal
18070301	Aliso-San Onofre
18070302	Santa Margarita
18070303	San Luis Rey-Escondido
18070304	San Diego
18070305	Cottonwood-Tijuana
1808	North Lahontan
180800	North Lahontan
18080001	Surprise Valley
18080002	Madeline Plains
18080003	Honey-Eagle Lakes
1809	Northern Mojave-Mono Lake
180901	Mono-Owens Lakes
18090101	Mono Lake
18090102	Crowley Lake
18090103	Owens Lake
180902	Northern Mojave
18090201	Eureka-Saline Valleys
18090202	Upper Amargosa
18090203	Death Valley-Lower Amargosa
18090204	Panamint Valley
18090205	Indian Wells-Searles Valleys
18090206	Antelope-Fremont Valleys
18090207	Coyote-Cuddeback Lakes
18090208	Mojave
1810	Southern Mojave-Salton Sea
181001	Southern Mojave
18100100	Southern Mojave
181002	Salton Sea
18100200	Salton Sea
19	Alaska
1901	Arctic Slope
190100	Arctic Slope
19010001	East Arctic Slope
19010002	Colville
19010003	West Arctic Slope
1902	Northwest Alaska
190200	Northwest Alaska
19020001	Kotzebue Sound
19020002	Norton Sound-St. Lawrence Island
1903	Yukon
190300	Yukon
19030001	Fortymile-White
19030002	Upper Yukon
19030003	Middle Yukon
19030004	Tanana
19030005	Koyukuk
19030006	Lower Yukon
1904	Southwest Alaska
190400	Southwest Alaska
19040001	Kuskokwim Bay-Nunivak Island-St. Matthew Island
19040002	Bristol Bay
19040003	Aleutian-Pribilof Islands
1905	South Central Alaska
190500	South Central Alaska
19050001	Kodiak-Shelikof
19050002	Cook Inlet
19050003	Gulf of Alaska
1906	Southeast Alaska
190600	Southeast Alaska
19060000	Southeast Alaska
20	Hawaii
2001	Hawaii
200100	Hawaii
20010000	Hawaii
2002	Maui
200200	Maui
20020000	Maui
2003	Kahoolawe
200300	Kahoolawe
20030000	Kahoolawe
2004	Lanai
200400	Lanai
20040000	Lanai
2005	Molokai
200500	Molokai
20050000	Molokai
2006	Oahu
200600	Oahu
20060000	Oahu
2007	Kauai
200700	Kauai
20070000	Kauai
2008	Niihau
200800	Niihau
20080000	Niihau
2009	Northwestern Hawaiian Islands
200900	Northwestern Hawaiian Islands
20090000	Northwestern Hawaiian Islands
21	Caribbean
2101	Puerto Rico
210100	Puerto Rico
21010001	Interior Puerto Rico
21010002	Cibuco-Guajataca
21010003	Culebrinas-Guanajibo
21010004	Southern Puerto Rico
21010005	Eastern Puerto Rico
21010006	Puerto Rican Islands
2102	Virgin Islands
210200	Virgin Islands
21020001	St. John-St. Thomas
21020002	St. Croix
2103	Caribbean Outlying Areas
210300	Caribbean Outlying Areas
21030001	Canal Zone
21030002	Navassa
21030003	Roncador-Serrana
